id_lista,nombre_representante,distrito_familia,producto,cantidad,prioridad,precio_soles,nombre_tienda,tipo,distrito_tienda,fecha
109,María Quispe,San Martín de Porres,Papel higiénico (paquete),2.0,Alta,8.2,Mercado Central SMP,Mercado,San Martín de Porres,2025-08-21
11,Carlos López,San Borja,Frijoles (kg),2.0,Alta,5.0,Metro San Borja,Supermercado,San Borja,2025-09-23
11,Carlos López,San Borja,Frijoles (kg),2.0,Alta,4.7,Mercado Surquillo,Mercado,Surquillo,2025-09-23
110,José García,San Isidro,Queso (kg),1.0,Media,19.6,Wong San Isidro,Supermercado,San Isidro,2025-08-21
111,Ana Torres,Pueblo Libre,Yogurt (unidad),3.0,Baja,3.2,Metro Santiago de Surco,Supermercado,Santiago de Surco,2025-08-20
112,Carlos López,San Borja,Manzana (kg),2.0,Alta,5.7,Bodega La Esquina,Bodega,Miraflores,2025-08-20
113,Laura Sánchez,Lince,Arroz (kg),3.0,Alta,3.8,Tottus Jesús María,Supermercado,Jesús María,2025-08-20
114,Kevin Pardo,Miraflores,Leche evaporada 400g,2.0,Media,3.0,Plaza Vea Miraflores,Supermercado,Miraflores,2025-08-19
115,María Quispe,San Martín de Porres,Pechuga de pollo (kg),2.0,Alta,11.3,Mercado Central SMP,Mercado,San Martín de Porres,2025-08-19
116,José García,San Isidro,Plátano (kg),2.0,Alta,2.4,Wong San Isidro,Supermercado,San Isidro,2025-08-19
117,Ana Torres,Pueblo Libre,Detergente líquido 1L,1.0,Baja,7.5,Metro San Borja,Supermercado,San Borja,2025-08-18
118,Carlos López,San Borja,Huevos (docena),1.0,Alta,11.7,Vivanda La Molina,Supermercado,La Molina,2025-08-18
119,Laura Sánchez,Lince,Tomate (kg),2.0,Media,3.1,Tottus Lince,Supermercado,Lince,2025-08-18
12,Carlos López,San Borja,Papa (kg),3.0,Media,2.0,Plaza Vea Miraflores,Supermercado,Miraflores,2025-09-23
12,Carlos López,San Borja,Papa (kg),3.0,Media,1.8,Mercado Central SMP,Mercado,San Martín de Porres,2025-09-23
120,Kevin Pardo,Miraflores,Aceite (litro),1.0,Alta,9.7,Plaza Vea Miraflores,Supermercado,Miraflores,2025-08-17
121,María Quispe,San Martín de Porres,Azúcar (kg),2.0,Media,4.0,Mercado Central SMP,Mercado,San Martín de Porres,2025-08-17
122,José García,San Isidro,Pasta (paquete),3.0,Baja,2.6,Wong San Isidro,Supermercado,San Isidro,2025-08-17
123,Ana Torres,Pueblo Libre,Frijoles (kg),2.0,Alta,4.6,Metro Santiago de Surco,Supermercado,Santiago de Surco,2025-08-16
124,Carlos López,San Borja,Papa (kg),3.0,Media,1.6,Bodega La Esquina,Bodega,Miraflores,2025-08-16
125,Laura Sánchez,Lince,Cebolla (kg),2.0,Alta,2.0,Tottus Jesús María,Supermercado,Jesús María,2025-08-16
126,Kevin Pardo,Miraflores,Atún (lata),3.0,Media,5.9,Plaza Vea Miraflores,Supermercado,Miraflores,2025-08-15
127,María Quispe,San Martín de Porres,Galletas (paquete),2.0,Baja,3.6,Mercado Central SMP,Mercado,San Martín de Porres,2025-08-15
128,José García,San Isidro,Jugo (litro),2.0,Media,5.1,Wong San Isidro,Supermercado,San Isidro,2025-08-15
129,Ana Torres,Pueblo Libre,Café (paquete),1.0,Alta,14.5,Metro San Borja,Supermercado,San Borja,2025-08-14
13,Laura Sánchez,Lince,Cebolla (kg),2.0,Alta,2.5,Tottus Lince,Supermercado,Lince,2025-09-22
13,Laura Sánchez,Lince,Cebolla (kg),2.0,Alta,2.2,Bodega La Esquina,Bodega,Miraflores,2025-09-22
130,Carlos López,San Borja,Té (paquete),1.0,Baja,3.1,Vivanda La Molina,Supermercado,La Molina,2025-08-14
131,Laura Sánchez,Lince,Harina (kg),2.0,Media,3.8,Tottus Lince,Supermercado,Lince,2025-08-14
132,Kevin Pardo,Miraflores,Sal (kg),1.0,Alta,1.1,Plaza Vea Miraflores,Supermercado,Miraflores,2025-08-13
133,María Quispe,San Martín de Porres,Mayonesa (frasco),1.0,Baja,5.6,Mercado Central SMP,Mercado,San Martín de Porres,2025-08-13
134,José García,San Isidro,Ketchup (frasco),1.0,Media,4.6,Wong San Isidro,Supermercado,San Isidro,2025-08-13
135,Ana Torres,Pueblo Libre,Lentejas (kg),2.0,Alta,4.4,Metro Santiago de Surco,Supermercado,Santiago de Surco,2025-08-12
136,Carlos López,San Borja,Shampoo (frasco),1.0,Baja,11.5,Vivanda La Molina,Supermercado,La Molina,2025-08-12
137,Laura Sánchez,Lince,Papel higiénico (paquete),2.0,Alta,8.1,Tottus Lince,Supermercado,Lince,2025-08-12
138,Kevin Pardo,Miraflores,Queso (kg),1.0,Media,19.5,Plaza Vea Miraflores,Supermercado,Miraflores,2025-08-11
139,María Quispe,San Martín de Porres,Yogurt (unidad),3.0,Baja,3.1,Mercado Central SMP,Mercado,San Martín de Porres,2025-08-11
14,Laura Sánchez,Lince,Atún (lata),3.0,Media,6.5,Wong San Isidro,Supermercado,San Isidro,2025-09-22
14,Laura Sánchez,Lince,Atún (lata),3.0,Media,6.0,Mercado Surquillo,Mercado,Surquillo,2025-09-22
140,José García,San Isidro,Manzana (kg),2.0,Alta,5.6,Wong San Isidro,Supermercado,San Isidro,2025-08-11
141,Ana Torres,Pueblo Libre,Arroz (kg),3.0,Alta,3.7,Metro San Borja,Supermercado,San Borja,2025-08-10
142,Carlos López,San Borja,Leche evaporada 400g,2.0,Media,2.9,Bodega La Esquina,Bodega,Miraflores,2025-08-10
143,Laura Sánchez,Lince,Pechuga de pollo (kg),2.0,Alta,11.2,Tottus Jesús María,Supermercado,Jesús María,2025-08-10
144,Kevin Pardo,Miraflores,Plátano (kg),2.0,Alta,2.3,Plaza Vea Miraflores,Supermercado,Miraflores,2025-08-09
145,María Quispe,San Martín de Porres,Detergente líquido 1L,1.0,Baja,7.4,Mercado Central SMP,Mercado,San Martín de Porres,2025-08-09
146,José García,San Isidro,Huevos (docena),1.0,Alta,11.6,Wong San Isidro,Supermercado,San Isidro,2025-08-09
147,Ana Torres,Pueblo Libre,Tomate (kg),2.0,Media,3.0,Metro Santiago de Surco,Supermercado,Santiago de Surco,2025-08-08
148,Carlos López,San Borja,Aceite (litro),1.0,Alta,9.6,Vivanda La Molina,Supermercado,La Molina,2025-08-08
149,Laura Sánchez,Lince,Azúcar (kg),2.0,Media,3.9,Tottus Lince,Supermercado,Lince,2025-08-08
15,Laura Sánchez,Lince,Galletas (paquete),2.0,Baja,4.0,Bodega San Miguel,Bodega,San Miguel,2025-09-22
15,Laura Sánchez,Lince,Galletas (paquete),2.0,Baja,3.8,Metro Santiago de Surco,Supermercado,Santiago de Surco,2025-09-22
150,Kevin Pardo,Miraflores,Pasta (paquete),3.0,Baja,2.5,Plaza Vea Miraflores,Supermercado,Miraflores,2025-08-07
151,María Quispe,San Martín de Porres,Frijoles (kg),2.0,Alta,4.5,Mercado Central SMP,Mercado,San Martín de Porres,2025-08-07
152,José García,San Isidro,Papa (kg),3.0,Media,1.5,Wong San Isidro,Supermercado,San Isidro,2025-08-07
153,Ana Torres,Pueblo Libre,Cebolla (kg),2.0,Alta,1.9,Metro San Borja,Supermercado,San Borja,2025-08-06
154,Carlos López,San Borja,Atún (lata),3.0,Media,5.8,Bodega La Esquina,Bodega,Miraflores,2025-08-06
155,Laura Sánchez,Lince,Galletas (paquete),2.0,Baja,3.5,Tottus Jesús María,Supermercado,Jesús María,2025-08-06
156,Kevin Pardo,Miraflores,Jugo (litro),2.0,Media,5.0,Plaza Vea Miraflores,Supermercado,Miraflores,2025-08-05
157,María Quispe,San Martín de Porres,Café (paquete),1.0,Alta,14.4,Mercado Central SMP,Mercado,San Martín de Porres,2025-08-05
158,José García,San Isidro,Té (paquete),1.0,Baja,3.0,Wong San Isidro,Supermercado,San Isidro,2025-08-05
159,Ana Torres,Pueblo Libre,Harina (kg),2.0,Media,3.7,Metro Santiago de Surco,Supermercado,Santiago de Surco,2025-08-04
16,Kevin Pardo,Miraflores,Jugo (litro),2.0,Media,5.5,Plaza Vea Miraflores,Supermercado,Miraflores,2025-09-21
160,Carlos López,San Borja,Sal (kg),1.0,Alta,1.0,Vivanda La Molina,Supermercado,La Molina,2025-08-04
161,Laura Sánchez,Lince,Mayonesa (frasco),1.0,Baja,5.5,Tottus Lince,Supermercado,Lince,2025-08-04
162,Kevin Pardo,Miraflores,Ketchup (frasco),1.0,Media,4.5,Plaza Vea Miraflores,Supermercado,Miraflores,2025-08-03
163,María Quispe,San Martín de Porres,Lentejas (kg),2.0,Alta,4.3,Mercado Central SMP,Mercado,San Martín de Porres,2025-08-03
164,José García,San Isidro,Shampoo (frasco),1.0,Baja,11.4,Wong San Isidro,Supermercado,San Isidro,2025-08-03
165,Ana Torres,Pueblo Libre,Papel higiénico (paquete),2.0,Alta,8.0,Metro San Borja,Supermercado,San Borja,2025-08-02
166,Carlos López,San Borja,Queso (kg),1.0,Media,19.4,Vivanda La Molina,Supermercado,La Molina,2025-08-02
167,Laura Sánchez,Lince,Yogurt (unidad),3.0,Baja,3.0,Tottus Lince,Supermercado,Lince,2025-08-02
168,Kevin Pardo,Miraflores,Manzana (kg),2.0,Alta,5.5,Plaza Vea Miraflores,Supermercado,Miraflores,2025-08-01
169,María Quispe,San Martín de Porres,Arroz (kg),3.0,Alta,3.6,Mercado Central SMP,Mercado,San Martín de Porres,2025-08-01
17,María Quispe,San Martín de Porres,Café (paquete),1.0,Alta,15.0,Tottus San Isidro,Supermercado,San Isidro,2025-09-21
170,José García,San Isidro,Leche evaporada 400g,2.0,Media,2.8,Wong San Isidro,Supermercado,San Isidro,2025-08-01
171,Ana Torres,Pueblo Libre,Pechuga de pollo (kg),2.0,Alta,11.1,Metro Santiago de Surco,Supermercado,Santiago de Surco,2025-07-31
172,Carlos López,San Borja,Plátano (kg),2.0,Alta,2.2,Bodega La Esquina,Bodega,Miraflores,2025-07-31
173,Laura Sánchez,Lince,Detergente líquido 1L,1.0,Baja,7.3,Tottus Jesús María,Supermercado,Jesús María,2025-07-31
174,Kevin Pardo,Miraflores,Huevos (docena),1.0,Alta,11.5,Plaza Vea Miraflores,Supermercado,Miraflores,2025-07-30
175,María Quispe,San Martín de Porres,Tomate (kg),2.0,Media,2.9,Mercado Central SMP,Mercado,San Martín de Porres,2025-07-30
176,José García,San Isidro,Aceite (litro),1.0,Alta,9.5,Wong San Isidro,Supermercado,San Isidro,2025-07-30
177,Ana Torres,Pueblo Libre,Azúcar (kg),2.0,Media,3.8,Metro San Borja,Supermercado,San Borja,2025-07-29
178,Carlos López,San Borja,Pasta (paquete),3.0,Baja,2.4,Vivanda La Molina,Supermercado,La Molina,2025-07-29
179,Laura Sánchez,Lince,Frijoles (kg),2.0,Alta,4.4,Tottus Lince,Supermercado,Lince,2025-07-29
18,José García,San Isidro,Té (paquete),1.0,Baja,3.5,Vivanda La Molina,Supermercado,La Molina,2025-09-20
180,Kevin Pardo,Miraflores,Papa (kg),3.0,Media,1.4,Plaza Vea Miraflores,Supermercado,Miraflores,2025-07-28
181,María Quispe,San Martín de Porres,Cebolla (kg),2.0,Alta,1.8,Mercado Central SMP,Mercado,San Martín de Porres,2025-07-28
182,José García,San Isidro,Atún (lata),3.0,Media,5.7,Wong San Isidro,Supermercado,San Isidro,2025-07-28
183,Ana Torres,Pueblo Libre,Galletas (paquete),2.0,Baja,3.4,Metro Santiago de Surco,Supermercado,Santiago de Surco,2025-07-27
184,Carlos López,San Borja,Jugo (litro),2.0,Media,4.9,Bodega La Esquina,Bodega,Miraflores,2025-07-27
185,Laura Sánchez,Lince,Café (paquete),1.0,Alta,14.3,Tottus Jesús María,Supermercado,Jesús María,2025-07-27
186,Kevin Pardo,Miraflores,Té (paquete),1.0,Baja,2.9,Plaza Vea Miraflores,Supermercado,Miraflores,2025-07-26
187,María Quispe,San Martín de Porres,Harina (kg),2.0,Media,3.6,Mercado Central SMP,Mercado,San Martín de Porres,2025-07-26
188,José García,San Isidro,Sal (kg),1.0,Alta,0.9,Wong San Isidro,Supermercado,San Isidro,2025-07-26
189,Ana Torres,Pueblo Libre,Mayonesa (frasco),1.0,Baja,5.4,Metro San Borja,Supermercado,San Borja,2025-07-25
19,Ana Torres,Pueblo Libre,Harina (kg),2.0,Media,4.2,Metro San Borja,Supermercado,San Borja,2025-09-20
190,Carlos López,San Borja,Ketchup (frasco),1.0,Media,4.4,Vivanda La Molina,Supermercado,La Molina,2025-07-25
191,Laura Sánchez,Lince,Lentejas (kg),2.0,Alta,4.2,Tottus Lince,Supermercado,Lince,2025-07-25
192,Kevin Pardo,Miraflores,Shampoo (frasco),1.0,Baja,11.3,Plaza Vea Miraflores,Supermercado,Miraflores,2025-07-24
193,María Quispe,San Martín de Porres,Papel higiénico (paquete),2.0,Alta,7.9,Mercado Central SMP,Mercado,San Martín de Porres,2025-07-24
194,José García,San Isidro,Queso (kg),1.0,Media,19.3,Wong San Isidro,Supermercado,San Isidro,2025-07-24
195,Ana Torres,Pueblo Libre,Yogurt (unidad),3.0,Baja,2.9,Metro Santiago de Surco,Supermercado,Santiago de Surco,2025-07-23
196,Carlos López,San Borja,Manzana (kg),2.0,Alta,5.4,Bodega La Esquina,Bodega,Miraflores,2025-07-23
197,Laura Sánchez,Lince,Arroz (kg),3.0,Alta,3.5,Tottus Jesús María,Supermercado,Jesús María,2025-07-23
198,Kevin Pardo,Miraflores,Leche evaporada 400g,2.0,Media,2.7,Plaza Vea Miraflores,Supermercado,Miraflores,2025-07-22
199,María Quispe,San Martín de Porres,Pechuga de pollo (kg),2.0,Alta,11.0,Mercado Central SMP,Mercado,San Martín de Porres,2025-07-22
2,Kevin Pardo,Miraflores,Leche evaporada 400g,4.0,Media,3.5,Plaza Vea Miraflores,Supermercado,Miraflores,2025-09-26
2,Kevin Pardo,Miraflores,Leche evaporada 400g,4.0,Media,3.1,Mercado Central SMP,Mercado,San Martín de Porres,2025-09-26
20,Carlos López,San Borja,Sal (kg),1.0,Alta,1.5,Bodega La Esquina,Bodega,Miraflores,2025-09-20
200,José García,San Isidro,Plátano (kg),2.0,Alta,2.1,Wong San Isidro,Supermercado,San Isidro,2025-07-22
201,Ana Torres,Pueblo Libre,Detergente líquido 1L,1.0,Baja,7.2,Metro San Borja,Supermercado,San Borja,2025-07-21
202,Carlos López,San Borja,Huevos (docena),1.0,Alta,11.4,Vivanda La Molina,Supermercado,La Molina,2025-07-21
203,Laura Sánchez,Lince,Tomate (kg),2.0,Media,2.8,Tottus Lince,Supermercado,Lince,2025-07-21
204,Kevin Pardo,Miraflores,Aceite (litro),1.0,Alta,9.4,Plaza Vea Miraflores,Supermercado,Miraflores,2025-07-20
205,María Quispe,San Martín de Porres,Azúcar (kg),2.0,Media,3.7,Mercado Central SMP,Mercado,San Martín de Porres,2025-07-20
206,José García,San Isidro,Pasta (paquete),3.0,Baja,2.3,Wong San Isidro,Supermercado,San Isidro,2025-07-20
207,Ana Torres,Pueblo Libre,Frijoles (kg),2.0,Alta,4.3,Metro Santiago de Surco,Supermercado,Santiago de Surco,2025-07-19
208,Carlos López,San Borja,Papa (kg),3.0,Media,1.3,Bodega La Esquina,Bodega,Miraflores,2025-07-19
209,Laura Sánchez,Lince,Cebolla (kg),2.0,Alta,1.7,Tottus Jesús María,Supermercado,Jesús María,2025-07-19
21,Laura Sánchez,Lince,Mayonesa (frasco),1.0,Baja,6.0,Plaza Vea Pueblo Libre,Supermercado,Pueblo Libre,2025-09-19
210,Kevin Pardo,Miraflores,Atún (lata),3.0,Media,5.6,Plaza Vea Miraflores,Supermercado,Miraflores,2025-07-18
211,María Quispe,San Martín de Porres,Galletas (paquete),2.0,Baja,3.3,Mercado Central SMP,Mercado,San Martín de Porres,2025-07-18
212,José García,San Isidro,Jugo (litro),2.0,Media,4.8,Wong San Isidro,Supermercado,San Isidro,2025-07-18
213,Ana Torres,Pueblo Libre,Café (paquete),1.0,Alta,14.2,Metro San Borja,Supermercado,San Borja,2025-07-17
214,Carlos López,San Borja,Té (paquete),1.0,Baja,2.8,Vivanda La Molina,Supermercado,La Molina,2025-07-17
215,Laura Sánchez,Lince,Harina (kg),2.0,Media,3.5,Tottus Lince,Supermercado,Lince,2025-07-17
216,Kevin Pardo,Miraflores,Sal (kg),1.0,Alta,0.8,Plaza Vea Miraflores,Supermercado,Miraflores,2025-07-16
217,María Quispe,San Martín de Porres,Mayonesa (frasco),1.0,Baja,5.3,Mercado Central SMP,Mercado,San Martín de Porres,2025-07-16
218,José García,San Isidro,Ketchup (frasco),1.0,Media,4.3,Wong San Isidro,Supermercado,San Isidro,2025-07-16
219,Ana Torres,Pueblo Libre,Lentejas (kg),2.0,Alta,4.1,Metro Santiago de Surco,Supermercado,Santiago de Surco,2025-07-15
22,Kevin Pardo,Miraflores,Ketchup (frasco),1.0,Media,5.0,Tottus Jesús María,Supermercado,Jesús María,2025-09-19
220,Carlos López,San Borja,Shampoo (frasco),1.0,Baja,11.2,Vivanda La Molina,Supermercado,La Molina,2025-07-15
221,Laura Sánchez,Lince,Papel higiénico (paquete),2.0,Alta,7.8,Tottus Lince,Supermercado,Lince,2025-07-15
222,Kevin Pardo,Miraflores,Queso (kg),1.0,Media,19.2,Plaza Vea Miraflores,Supermercado,Miraflores,2025-07-14
223,María Quispe,San Martín de Porres,Yogurt (unidad),3.0,Baja,2.8,Mercado Central SMP,Mercado,San Martín de Porres,2025-07-14
224,José García,San Isidro,Manzana (kg),2.0,Alta,5.3,Wong San Isidro,Supermercado,San Isidro,2025-07-14
225,Ana Torres,Pueblo Libre,Arroz (kg),3.0,Alta,3.4,Metro San Borja,Supermercado,San Borja,2025-07-13
226,Carlos López,San Borja,Leche evaporada 400g,2.0,Media,2.6,Bodega La Esquina,Bodega,Miraflores,2025-07-13
227,Laura Sánchez,Lince,Pechuga de pollo (kg),2.0,Alta,10.9,Tottus Jesús María,Supermercado,Jesús María,2025-07-13
228,Kevin Pardo,Miraflores,Plátano (kg),2.0,Alta,2.0,Plaza Vea Miraflores,Supermercado,Miraflores,2025-07-12
229,María Quispe,San Martín de Porres,Detergente líquido 1L,1.0,Baja,7.1,Mercado Central SMP,Mercado,San Martín de Porres,2025-07-12
23,María Quispe,San Martín de Porres,Lentejas (kg),2.0,Alta,4.8,Mercado Central SMP,Mercado,San Martín de Porres,2025-09-19
230,José García,San Isidro,Huevos (docena),1.0,Alta,11.3,Wong San Isidro,Supermercado,San Isidro,2025-07-12
231,Ana Torres,Pueblo Libre,Tomate (kg),2.0,Media,2.7,Metro Santiago de Surco,Supermercado,Santiago de Surco,2025-07-11
232,Carlos López,San Borja,Aceite (litro),1.0,Alta,9.3,Vivanda La Molina,Supermercado,La Molina,2025-07-11
233,Laura Sánchez,Lince,Azúcar (kg),2.0,Media,3.6,Tottus Lince,Supermercado,Lince,2025-07-11
234,Kevin Pardo,Miraflores,Pasta (paquete),3.0,Baja,2.2,Plaza Vea Miraflores,Supermercado,Miraflores,2025-07-10
235,María Quispe,San Martín de Porres,Frijoles (kg),2.0,Alta,4.2,Mercado Central SMP,Mercado,San Martín de Porres,2025-07-10
236,José García,San Isidro,Papa (kg),3.0,Media,1.2,Wong San Isidro,Supermercado,San Isidro,2025-07-10
237,Ana Torres,Pueblo Libre,Cebolla (kg),2.0,Alta,1.6,Metro San Borja,Supermercado,San Borja,2025-07-09
238,Carlos López,San Borja,Atún (lata),3.0,Media,5.5,Bodega La Esquina,Bodega,Miraflores,2025-07-09
239,Laura Sánchez,Lince,Galletas (paquete),2.0,Baja,3.2,Tottus Jesús María,Supermercado,Jesús María,2025-07-09
24,José García,San Isidro,Shampoo (frasco),1.0,Baja,12.0,Wong San Isidro,Supermercado,San Isidro,2025-09-18
240,Kevin Pardo,Miraflores,Jugo (litro),2.0,Media,4.7,Plaza Vea Miraflores,Supermercado,Miraflores,2025-07-08
241,María Quispe,San Martín de Porres,Café (paquete),1.0,Alta,14.1,Mercado Central SMP,Mercado,San Martín de Porres,2025-07-08
242,José García,San Isidro,Té (paquete),1.0,Baja,2.7,Wong San Isidro,Supermercado,San Isidro,2025-07-08
243,Ana Torres,Pueblo Libre,Harina (kg),2.0,Media,3.4,Metro Santiago de Surco,Supermercado,Santiago de Surco,2025-07-07
244,Carlos López,San Borja,Sal (kg),1.0,Alta,0.7,Vivanda La Molina,Supermercado,La Molina,2025-07-07
245,Laura Sánchez,Lince,Mayonesa (frasco),1.0,Baja,5.2,Tottus Lince,Supermercado,Lince,2025-07-07
246,Kevin Pardo,Miraflores,Ketchup (frasco),1.0,Media,4.2,Plaza Vea Miraflores,Supermercado,Miraflores,2025-07-06
247,María Quispe,San Martín de Porres,Lentejas (kg),2.0,Alta,4.0,Mercado Central SMP,Mercado,San Martín de Porres,2025-07-06
248,José García,San Isidro,Shampoo (frasco),1.0,Baja,11.1,Wong San Isidro,Supermercado,San Isidro,2025-07-06
249,Ana Torres,Pueblo Libre,Papel higiénico (paquete),2.0,Alta,7.7,Metro San Borja,Supermercado,San Borja,2025-07-05
25,Ana Torres,Pueblo Libre,Papel higiénico (paquete),2.0,Alta,8.5,Metro Santiago de Surco,Supermercado,Santiago de Surco,2025-09-18
250,Carlos López,San Borja,Queso (kg),1.0,Media,19.1,Vivanda La Molina,Supermercado,La Molina,2025-07-05
251,Laura Sánchez,Lince,Yogurt (unidad),3.0,Baja,2.7,Tottus Lince,Supermercado,Lince,2025-07-05
252,Kevin Pardo,Miraflores,Manzana (kg),2.0,Alta,5.2,Plaza Vea Miraflores,Supermercado,Miraflores,2025-07-04
253,María Quispe,San Martín de Porres,Arroz (kg),3.0,Alta,3.3,Mercado Central SMP,Mercado,San Martín de Porres,2025-07-04
254,José García,San Isidro,Leche evaporada 400g,2.0,Media,2.5,Wong San Isidro,Supermercado,San Isidro,2025-07-04
255,Ana Torres,Pueblo Libre,Pechuga de pollo (kg),2.0,Alta,10.8,Metro Santiago de Surco,Supermercado,Santiago de Surco,2025-07-03
256,Carlos López,San Borja,Plátano (kg),2.0,Alta,1.9,Bodega La Esquina,Bodega,Miraflores,2025-07-03
257,Laura Sánchez,Lince,Detergente líquido 1L,1.0,Baja,7.0,Tottus Jesús María,Supermercado,Jesús María,2025-07-03
258,Kevin Pardo,Miraflores,Huevos (docena),1.0,Alta,11.2,Plaza Vea Miraflores,Supermercado,Miraflores,2025-07-02
259,María Quispe,San Martín de Porres,Tomate (kg),2.0,Media,2.6,Mercado Central SMP,Mercado,San Martín de Porres,2025-07-02
26,Carlos López,San Borja,Queso (kg),1.0,Media,20.0,Vivanda La Molina,Supermercado,La Molina,2025-09-18
260,José García,San Isidro,Aceite (litro),1.0,Alta,9.2,Wong San Isidro,Supermercado,San Isidro,2025-07-02
